Time,RPM,MAP,TPS,AFR,Lambda,IAT,CLT,Ign Adv,Inj PW,Battery V,Boost psi
0.0,847,36.0,1.9,14.81,1.007,28.1,87.9,12.0,1.73,13.78,0
0.05,852,38.1,2.1,14.8,1.007,27.7,88.1,12.2,1.85,13.86,0
0.1,852,37.0,2.0,14.48,0.985,28.3,88.0,12.0,1.95,13.81,0
0.15,856,34.9,2.4,14.79,1.006,27.9,87.9,11.4,1.6,13.84,0
0.2,863,37.2,1.5,14.55,0.99,28.1,88.2,12.0,1.89,13.83,0
0.25,859,37.2,2.4,14.61,0.994,28.2,88.0,11.8,1.87,13.91,0
0.3,842,37.1,1.6,14.91,1.015,28.5,88.1,12.3,1.98,13.72,0
0.35,847,34.5,2.6,14.71,1.0,28.3,88.2,12.4,1.82,13.91,0
0.4,866,35.3,1.8,14.58,0.992,28.1,88.3,12.6,1.83,13.76,0
0.45,853,34.2,1.2,14.61,0.994,28.2,88.2,12.2,1.97,13.8,0
0.5,874,37.1,2.6,14.55,0.99,28.5,88.2,12.7,1.96,13.89,0
0.55,853,37.1,3.0,14.62,0.995,28.6,88.4,11.7,1.89,13.83,0
0.6,824,37.4,2.6,14.62,0.994,28.7,88.0,11.9,1.89,13.77,0
0.65,881,35.7,2.0,14.71,1.001,27.9,88.4,11.5,1.92,13.79,0
0.7,896,38.5,2.4,14.5,0.987,28.8,87.9,12.1,2.0,13.84,0
0.75,871,38.0,3.0,14.71,1.001,28.3,88.2,12.0,1.81,13.89,0
0.8,854,34.2,2.4,14.64,0.996,28.7,88.3,12.3,1.93,13.74,0
0.85,871,37.3,2.5,14.59,0.993,28.5,88.6,12.8,1.93,13.82,0
0.9,869,37.5,3.4,14.66,0.997,28.4,88.4,12.4,2.08,13.85,0
0.95,858,36.4,1.5,14.73,1.002,28.5,88.1,11.7,1.98,13.82,0
1.0,864,36.7,1.6,14.69,1.0,28.5,88.2,11.7,1.96,13.82,0
1.05,883,36.8,2.0,14.7,1.0,28.6,88.3,13.2,1.74,13.79,0
1.1,897,39.9,2.4,14.63,0.995,28.2,88.4,12.3,1.95,13.78,0
1.15,872,38.8,1.3,14.67,0.998,28.5,89.0,12.9,1.86,13.75,0
1.2,847,37.1,2.1,14.8,1.007,27.9,88.3,12.8,1.88,13.86,0
1.25,878,35.9,1.4,14.91,1.014,28.5,88.2,13.1,1.96,13.75,0
1.3,872,37.6,2.7,14.63,0.995,28.1,88.6,11.7,1.85,13.68,0
1.35,867,39.0,2.7,14.71,1.001,28.3,88.3,12.7,1.91,13.87,0
1.4,888,41.7,2.7,14.7,1.0,28.4,89.0,12.5,2.06,13.87,0
1.45,853,37.1,2.3,14.82,1.008,27.9,88.5,11.5,1.68,13.79,0
1.5,880,34.5,2.1,14.4,0.979,28.8,88.7,12.3,1.91,13.78,0
1.55,896,35.6,2.5,14.62,0.995,28.6,88.6,11.9,1.69,13.77,0
1.6,866,39.3,2.7,14.71,1.0,28.5,88.3,12.0,1.9,13.79,0
1.65,878,38.6,3.5,14.86,1.011,28.2,88.6,12.0,2.02,13.81,0
